time,away,score,home,
6:46,Official TV Timeout,,,2
6:41,,48-57,Tyrone Wallace made Layup.,2
6:21,Lance Tejada missed Three Point Jumper.,48-57,,2
6:21,,48-57,Jaylen Brown Defensive Rebound.,2
6:15,Foul on Lance Tejada.,48-57,,2
6:15,,48-57,Jaylen Brown missed Free Throw.,2
6:15,,48-57,California Deadball Team Rebound.,2
6:15,,48-58,Jaylen Brown made Free Throw.,2
5:55,,48-58,Foul on Jaylen Brown.,2
5:55,Caleb White made Free Throw.,49-58,,2
5:55,Caleb White made Free Throw.,50-58,,2
5:38,,50-60,Tyrone Wallace made Layup. Assisted by Sam Singer.,2
5:19,,50-60,Foul on Jabari Bird.,2
5:19,Caleb White made Free Throw.,51-60,,2
5:19,Caleb White made Free Throw.,52-60,,2
5:10,,52-62,Kameron Rooks made Layup. Assisted by Stephen Domingo.,2
4:58,Caleb White made Three Point Jumper. Assisted by Prince Williams.,55-62,,2
4:54,East Carolina Timeout,,,2
4:33,Foul on Kentrell Barkley.,55-62,,2
4:33,,55-62,Tyrone Wallace missed Free Throw.,2
4:33,,55-62,California Deadball Team Rebound.,2
4:33,,55-62,Tyrone Wallace missed Free Throw.,2
4:33,Michael Zangari Defensive Rebound.,55-62,,2
4:22,Michel Nzege made Layup. Assisted by Prince Williams.,57-62,,2
4:00,,57-62,Tyrone Wallace missed Three Point Jumper.,2
4:00,,57-62,California Offensive Rebound.,2
3:55,Official TV Timeout,,,2
3:41,,57-62,Stephen Domingo missed Three Point Jumper.,2
3:41,Caleb White Defensive Rebound.,57-62,,2
3:12,Caleb White missed Three Point Jumper.,57-62,,2
3:12,Michel Nzege Offensive Rebound.,57-62,,2
3:07,Michel Nzege made Two Point Tip Shot.,59-62,,2
2:48,,59-62,Tyrone Wallace missed Jumper.,2
2:48,East Carolina Defensive Rebound.,59-62,,2
2:28,Michael Zangari missed Jumper.,59-62,,2
2:28,,59-62,Jaylen Brown Defensive Rebound.,2
2:24,Foul on Prince Williams.,59-62,,2
2:24,,59-63,Jaylen Brown made Free Throw.,2
2:24,,59-64,Jaylen Brown made Free Throw.,2
2:14,,59-64,Foul on Tyrone Wallace.,2
2:14,Prince Williams made Free Throw.,60-64,,2
2:14,Prince Williams made Free Throw.,61-64,,2
1:53,,61-66,Jabari Bird made Layup. Assisted by Ivan Rabb.,2
1:40,Prince Williams Turnover.,61-66,,2
1:18,,61-66,Jaylen Brown missed Three Point Jumper.,2
1:18,,61-66,Tyrone Wallace Offensive Rebound.,2
0:47,,61-66,Tyrone Wallace missed Jumper.,2
